Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.59,4.2,100.0,42.71818181818182,25.0,25.0,7.5,1.1553691275167786,36.540740740740745,25.13953488372093,16.1
0.45,2.7,50.0,42.71818181818182,20.0,19.0,3.5,1.1,36.540740740740745,25.13953488372093,55.8
0.5,2.7,100.0,42.71818181818182,25.0,32.0,6.2,1.1553691275167786,36.540740740740745,25.13953488372093,29.5
0.5,2.8,50.0,42.71818181818182,16.0,20.0,5.0,2.0,34.0,23.0,37.5
0.49,4.7,0.0,42.71818181818182,16.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,37.7
0.65,3.1,75.0,42.71818181818182,19.0,20.0,5.8,0.2,36.540740740740745,25.0,16.5
0.42,3.0,0.0,42.71818181818182,32.0,32.0,5.158959537572255,0.3,36.540740740740745,25.13953488372093,36.8
0.26,3.163619047619047,100.0,42.71818181818182,12.0,12.0,6.1,2.0,36.540740740740745,25.13953488372093,70.5
0.65,3.5,100.0,42.71818181818182,19.0,25.0,4.8,1.1553691275167786,37.0,25.13953488372093,24.8
0.76,4.5,100.0,42.71818181818182,30.0,32.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,20.4
0.68,3.4,20.0,42.71818181818182,19.0,19.0,5.3,0.5,37.0,23.0,64.8
0.57,2.9,50.0,42.71818181818182,20.0,32.0,6.3,1.3,36.540740740740745,25.13953488372093,39.7
0.5,2.6,0.0,42.71818181818182,25.0,32.0,4.1,0.8,36.540740740740745,25.13953488372093,52.0
0.4,3.5,100.0,42.71818181818182,25.0,25.0,7.5,1.1553691275167786,36.540740740740745,25.13953488372093,18.8
0.57,3.3,50.0,42.71818181818182,19.0,19.0,5.3,0.5,37.0,23.0,47.5
0.36,2.2,100.0,41.6,16.0,16.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,38.7
0.41,1.7,15.0,42.71818181818182,20.0,20.0,3.6,0.7,36.540740740740745,25.13953488372093,55.2
0.29,2.9,0.0,42.71818181818182,10.0,10.0,5.158959537572255,2.1,36.540740740740745,24.8,70.5
0.65,3.2,100.0,42.71818181818182,20.0,19.0,5.2,1.1553691275167786,40.2,32.0,43.7
0.68,2.8,100.0,42.71818181818182,16.0,20.0,5.0,1.1553691275167786,36.540740740740745,25.13953488372093,30.1
0.57,3.0,0.0,42.71818181818182,20.0,32.0,5.158959537572255,1.3,36.540740740740745,25.13953488372093,40.2
0.36,2.7,0.0,42.71818181818182,16.0,16.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,61.8
0.41,3.163619047619047,100.0,42.71818181818182,21.5609756097561,22.30243902439024,5.1,0.5,36.540740740740745,25.13953488372093,26.5
0.41,2.6,0.0,42.71818181818182,32.0,20.0,5.158959537572255,0.4,36.540740740740745,25.13953488372093,47.2
0.45,3.163619047619047,50.0,42.71818181818182,21.5609756097561,22.30243902439024,6.1,1.2,59.8,25.13953488372093,38.4
0.7,3.3,100.0,42.71818181818182,25.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,27.7
0.56,2.3,100.0,42.71818181818182,20.0,20.0,4.7,1.1553691275167786,30.1,25.13953488372093,31.2
0.52,2.6,50.0,42.71818181818182,20.0,19.0,6.1,1.2,34.6,29.1,35.5
0.49,4.4,100.0,42.71818181818182,16.0,25.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,40.1
0.68,6.23,100.0,42.71818181818182,21.5609756097561,22.30243902439024,4.2,1.1,36.540740740740745,25.13953488372093,39.77
0.41,1.7,45.0,42.71818181818182,20.0,32.0,4.4,0.7,36.540740740740745,25.13953488372093,44.6
0.52,2.8,20.0,42.71818181818182,20.0,20.0,4.7,1.2,30.1,29.1,41.3
0.55,4.03,25.0,42.71818181818182,21.5609756097561,22.30243902439024,2.7,1.2,36.540740740740745,25.13953488372093,24.9
0.45,4.26,75.0,42.71818181818182,21.5609756097561,22.30243902439024,7.16,0.5,36.540740740740745,25.13953488372093,43.5
0.48,2.7,100.0,42.71818181818182,30.0,30.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,32.5
0.34,2.2,100.0,42.71818181818182,30.0,30.0,3.9,1.1553691275167786,39.0,25.13953488372093,43.8
0.7,3.2,100.0,42.71818181818182,25.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,20.4
0.5,2.8,20.0,42.71818181818182,20.0,20.0,3.9,1.2,30.8,29.1,39.3
0.5,3.8,20.0,42.71818181818182,20.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,26.4
0.42,2.4,60.0,38.4,20.0,20.0,5.8,0.9,36.540740740740745,25.13953488372093,35.8
0.27,3.7,75.0,42.71818181818182,21.5609756097561,22.30243902439024,5.07,1.48,36.540740740740745,25.13953488372093,15.0
0.45,2.5,75.0,42.71818181818182,19.0,19.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,35.0
0.54,3.1,0.0,42.71818181818182,32.0,32.0,5.158959537572255,0.4,36.540740740740745,25.13953488372093,26.8
0.36,2.2,100.0,42.71818181818182,16.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,56.4
0.43,5.4,100.0,42.71818181818182,32.0,15.0,6.0,1.1553691275167786,36.540740740740745,25.13953488372093,33.2
0.41,1.7,15.0,42.71818181818182,20.0,20.0,3.5,0.7,36.540740740740745,25.13953488372093,43.2
0.29,2.2,100.0,42.71818181818182,20.0,30.0,4.9,1.1553691275167786,36.540740740740745,25.13953488372093,70.0
0.47,3.163619047619047,100.0,42.71818181818182,12.0,12.0,6.1,2.0,36.540740740740745,25.13953488372093,38.0
0.65,3.1,0.0,42.71818181818182,20.0,19.0,5.158959537572255,1.7,36.540740740740745,32.0,40.5
0.54,3.0,0.0,41.4,20.0,22.0,5.158959537572255,1.2,36.540740740740745,24.8,49.8
0.48,5.0,27.0,36.0,25.0,20.0,7.0,1.2,36.540740740740745,25.13953488372093,51.4
