Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.58,3.2,100.0,46.176785714285714,32.0,16.0,4.8,1.138730650154799,35.59479166666667,26.013793103448275,40.7
0.36,2.4,0.0,46.176785714285714,16.0,25.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,58.3
0.5,2.3,100.0,46.176785714285714,25.0,20.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,36.2
0.4,2.7,25.0,46.176785714285714,21.42094017094017,21.955128205128204,5.71,3.15,35.59479166666667,26.013793103448275,43.5
0.66,3.9,100.0,46.176785714285714,30.0,32.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,26.1
0.45,2.5,100.0,46.176785714285714,19.0,25.0,3.3,1.138730650154799,35.59479166666667,26.013793103448275,45.9
0.36,2.4,0.0,46.176785714285714,16.0,20.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,57.9
0.52,2.9,0.0,46.176785714285714,22.0,20.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,48.0
0.66,3.9,100.0,46.176785714285714,30.0,32.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,25.1
0.41,1.7,15.0,46.176785714285714,20.0,20.0,3.7,0.7,35.59479166666667,26.013793103448275,54.4
0.4,3.0,0.0,46.176785714285714,22.0,20.0,5.2220498614958455,1.0,35.59479166666667,26.013793103448275,72.3
0.45,2.3,100.0,46.176785714285714,19.0,25.0,4.8,1.138730650154799,37.0,26.013793103448275,41.0
0.4,2.7,100.0,46.176785714285714,21.42094017094017,21.955128205128204,4.34,2.61,35.59479166666667,26.013793103448275,42.5
0.55,3.8,0.0,46.176785714285714,20.0,22.0,5.2220498614958455,1.4,35.59479166666667,26.013793103448275,21.0
0.48,2.7,100.0,46.176785714285714,30.0,30.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,35.3
0.66,3.9,100.0,46.176785714285714,30.0,32.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,25.0
0.46,3.0800824742268045,0.0,46.176785714285714,21.42094017094017,21.955128205128204,5.1,0.5,35.59479166666667,26.013793103448275,35.8
0.45,2.3,0.0,46.176785714285714,19.0,25.0,5.2220498614958455,0.45,35.59479166666667,23.0,44.4
0.5,2.7,0.0,46.176785714285714,16.0,20.0,5.2220498614958455,1.9,35.59479166666667,26.013793103448275,50.2
0.41,1.7,30.0,46.176785714285714,20.0,20.0,3.6,0.7,35.59479166666667,26.013793103448275,53.5
0.47,3.3,0.0,46.176785714285714,32.0,22.0,5.2220498614958455,0.3,35.59479166666667,26.013793103448275,31.2
0.47,3.0800824742268045,100.0,46.176785714285714,12.0,12.0,6.1,2.0,35.59479166666667,26.013793103448275,40.3
0.52,3.6,0.0,46.176785714285714,32.0,20.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,41.8
0.6,3.6,0.0,46.176785714285714,19.0,19.0,5.2220498614958455,0.5,35.59479166666667,23.0,47.8
